valor_FO, tiempo_de_ejecucion_(s)
19703.005290000037,59
19587.120180000053,59
19360.223930000047,59
19366.69852000001,59
19458.564660000065,58
19422.146400000056,59
19680.20477000006,59
19331.388410000072,59
19461.394600000087,59
19477.325770000047,58
19485.186970000086,59
19604.843560000085,59
19701.53477000006,59
19547.206850000082,59
19596.468380000046,59
19602.62199000007,59
19421.539080000075,59
19534.303580000043,59
19487.320530000066,59
19221.628780000083,59
